,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
11695,11695,4.0,0.4341,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'seat', 'guru', 'leg', 'room', 'box', 'seat', 'front', 'foot', 'purgatory', 'flight', 'kid', 'seat', 'aaaaakkkk']"
11696,11696,3.0,0.3064,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['lie_flat', 'seat', 'amenity', 'kity', 'blanket', 'pillow', 'sleep', 'hour', 'end', 'hr', 'flight', 'time']"
11697,11697,4.0,0.2794,"row, leg, room, window, plane, space, exit, side, front, door","['business', 'service']"
11698,11698,3.0,0.4115,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'person', 'econ', 'seat', 'econ', 'row']"
11699,11699,1.0,0.3588,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'attention', 'type', 'seating', 'aircraft', 'flew', 'aircraft', 'business', 'class', 'seat', 'seat', 'flight', 'window', 'seat', 'neighbor', 'upgrade', 'pillow', 'blanket', 'meal', 'airplane', 'food', 'star', 'upgrade', 'class', 'dinning', 'cabin', 'flight', 'attendant', 'mile', 'attention', 'version', 'business', 'class', 'try', 'continental', 'fleet', 'seat']"
11700,11700,3.0,0.3645,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['flight', 'seat', 'flight', 'review', 'legroom', 'curvature', 'aircraft', 'reviewer', 'seat', 'economy', 'economy']"
11701,11701,3.0,0.3347,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'leg', 'room', 'issue', 'shape', 'seat', 'steward', 'stewardess', 'complaint', 'legion', 'seat', 'aircraft', 'complaint', 'friend', 'seat', 'torquemada', 'choice', 'seat']"
11702,11702,4.0,0.4626,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'seat', 'space', 'rear', 'plane', 'shoulder', 'room', 'seat', 'window', 'space', 'seat', 'economy', 'area', 'time', 'lavatory', 'seat']"
11703,11703,3.0,0.3119,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['row', 'config', 'pod', 'seating', 'layout', 'hour', 'style', 'bulk_head', 'seat', 'floor', 'storage', 'row', 'photo', 'comparison', 'matter', 'row', 'other']"
11704,11704,3.0,0.2921,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'economy', 'leg', 'room', 'flight', 'time', 'upgrade', 'economy', 'passenger', 'economy', 'wife', 'window', 'aisle', 'book', 'passenger', 'top', 'seat', 'hour', 'favor', 'effort', 'route']"
11705,11705,4.0,0.4086,"row, leg, room, window, plane, space, exit, side, front, door","['leg', 'room']"
11706,11706,3.0,0.4746,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['businessfirat', 'thing', 'foot', 'other', 'reach', 'lay_flat', 'foot', 'contrast', 'foot', 'blanket']"
11707,11707,4.0,0.4553,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'leg', 'room', 'bit', 'window', 'area', 'head', 'sleep']"
11708,11708,4.0,0.3619,"row, leg, room, window, plane, space, exit, side, front, door","['economy', 'seat', 'leg', 'place', 'trip']"
11709,11709,3.0,0.3587,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'economy', 'seat', 'cdg']"
11710,11710,4.0,0.3972,"row, leg, room, window, plane, space, exit, side, front, door","['leg', 'room', 'leat', 'view', 'wing', 'entertainment', 'screen', 'charge', 'headphone', 'tome', 'customer', 'company']"
11711,11711,4.0,0.4807,"row, leg, room, window, plane, space, exit, side, front, door","['leg', 'room', 'row', 'pie', 'curvature', 'plane', 'lot', 'room', 'leg']"
11712,11712,4.0,0.301,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'storage', 'food', 'selection', 'attendant', 'negative', 'step', 'person', 'case', 'wife', 'flight', 'seatbelt', 'announcement', 'comment']"
11713,11713,4.0,0.376,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'row', 'av', 'box', 'seat', 'limit', 'foot', 'slide', 'seat', 'economy', 'limitation']"
11714,11714,4.0,0.3423,"row, leg, room, window, plane, space, exit, side, front, door","['block', 'seat', 'person', 'seat', 'way', 'room', 'knee']"
11715,11715,4.0,0.4505,"row, leg, room, window, plane, space, exit, side, front, door","['person', 'window', 'need', 'step', 'window', 'seat']"
11716,11716,4.0,0.312,"row, leg, room, window, plane, space, exit, side, front, door","['bulkhead', 'seat', 'row', 'pie', 'sleep', 'blanket', 'place', 'seat', 'cover', 'computer', 'bag', 'layer', 'protection', 'fabric', 'thousand', 'traveler', 'sleep']"
11717,11717,3.0,0.3616,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['today', 'plane', 'class', 'seat', 'business', 'airplane', 'storage', 'space', 'seat', 'headrest', 'design', 'sleep', 'lie_flat', 'position', 'aisle', 'passenger', 'music', 'selection', 'aircraft', 'seat', 'blanket', 'sleep', 'seat', 'dust', 'plastic', 'class', 'delta', 'experience']"
11718,11718,4.0,0.3795,"row, leg, room, window, plane, space, exit, side, front, door","['row', 'economy', 'fan', 'economy', 'benefit', 'leg', 'room', 'front', 'people', 'seat', 'row', 'economy', 'chair', 'seat', 'economy', 'way', 'economy', 'row', 'choice', 'row', 'economy', 'cent']"
